tvseries_id,cast_id
14,38318
14,2129
14,11102
14,10203
14,9237
14,43963
14,23358
15,52199
15,51407
15,4629
15,53224
15,32813
15,52422
15,36180
15,44779
15,38026
15,18737
15,28075
15,6729
15,26095
15,38781
15,5273
15,16311
15,16005
15,41313
16,22694
16,7476
16,43902
16,6258
16,44767
16,39530
16,22970
16,51619
16,35935
16,26387
16,40166
16,43744
16,41887
16,49042
16,20877
16,49745
16,50383
16,28087
17,52396
17,32884
17,48553
17,16653
17,29976
17,36067
17,44140
17,8716
17,31635
17,36799
17,5957
17,52200
17,8964
17,17906
17,15966
17,10623
17,7937
17,15218
18,33369
18,29037
18,10722
18,42506
18,29070
18,53063
18,20134
18,11035
18,13699
18,18630
18,30955
18,17229
18,8446
18,25336
18,10592
18,10371
18,45319
18,37347
19,36470
19,2249
19,21895
19,28773
19,16565
19,52051
19,21540
19,30673
19,28938
19,24988
19,45929
19,4238
19,4933
19,6941
19,30758
19,28897
19,44755
19,37506
20,20895
20,48563
20,39493
20,44304
20,46599
20,8304
20,41237
20,14594
20,49387
20,6482
20,46808
20,42195
20,13383
20,43241
20,8296
20,26273
20,13000
20,24807
21,46187
21,35422
21,8296
21,18707
21,7937
21,23998
21,31448
21,39486
21,43492
21,9451
21,39760
21,899
21,48553
21,17861
21,20332
21,43019
21,7543
21,21962
22,24018
22,2191
22,32917
22,44883
22,34704
22,16668
22,20734
22,17124
22,13914
22,17980
22,38198
22,25333
22,5323
22,37195
22,42711
22,6510
22,36498
22,29126
23,4864
23,51033
23,48340
23,40655
23,9302
23,20197
23,6878
23,53462
23,21604
23,18356
23,24243
23,52535
23,51432
23,38082
23,26825
23,32573
23,4324
23,35219
24,48959
24,22812
24,33406
24,1583
24,40632
24,42348
24,52881
24,12517
24,43701
24,5500
24,38001
24,45076
24,19231
24,11551
24,15006
24,13587
24,44656
24,42762
25,1835
25,10975
25,51016
25,27195
25,19318
25,5514
25,42467
25,28611
25,30461
25,32420
25,17438
25,31861
25,5319
25,16964
25,42858
25,1152
25,42333
25,25579
26,12985
26,4318
26,14365
26,37194
26,25345
26,28946
26,37210
26,45038
26,97
26,8406
26,4755
26,1656
26,10053
26,21
26,37341
26,10034
26,510
26,12064
27,49492
28,46666
28,48744
28,39364
28,17251
28,35234
28,13843
28,45090
28,27103
28,26830
28,1932
28,29682
28,41783
28,27451
28,35697
28,17290
28,41800
28,48486
28,10945
29,7394
29,16211
29,35090
29,18704
29,1406
29,32358
29,43803
29,15315
29,39016
29,30035
29,4740
29,32640
29,27369
29,24163
29,21045
29,47783
29,42934
29,18242
30,29974
30,30600
